meta,Constituency name,Lab 2001,Con 2001,LD 2001,SNP 2001,PC 2001,2001 winner,2001 votes,2001 turnout,Lab 2005,Con 2005,LD 2005,SNP 2005,PC 2005,2005 winner,2005 votes,2005 turnout
145,Devon East,7974,22681,14486,,,1,47837,68.1,7598,23075,15139,,,1,49247,69.4
146,Devon North,4995,18800,21784,,,2,49254,68.3,4656,18868,23840,,,2,51930,68.1
147,Devon South West,14826,21970,8616,,,1,46904,66.1,11545,21906,11765,,,1,48885,68.6
148,Devon West & Torridge,5959,22280,23474,,,2,55684,70.5,6001,25013,21777,,,1,58584,70.2
149,Dewsbury,18524,11075,4382,,,0,36651,58.8,15807,11192,5624,,,0,38595,62
150,Don Valley,20009,10489,4089,,,0,36630,55.3,19418,10820,6626,,,0,36864,55
151,Doncaster Central,20034,8035,4390,,,0,33902,52.1,17617,6489,7815,,,0,34351,52.3
152,Doncaster North,19788,4601,3323,,,0,31363,50.5,17531,4875,3800,,,0,31578,51.1
153,Dorset North,5334,22314,18517,,,1,47821,66.3,4596,23714,21470,,,1,52815,71.1
154,Dorset South,19027,18874,6531,,,0,45345,65.5,20231,18419,7647,,,0,48584,68.7
155,Dorset West,6733,22126,20712,,,1,49571,67,4124,24763,22302,,,1,53225,76.3
156,Dover,21943,16744,5131,,,0,44960,65.1,21680,16739,7607,,,0,47884,67.6
157,Dudley North,20095,13295,3352,,,0,38564,55.9,18306,12874,4257,,,0,41408,60.2
158,Dudley South,18109,11292,5421,,,0,36344,55.4,17800,13556,4808,,,0,39276,60.2
159,Dulwich & West Norwood,20999,8689,5806,,,0,38247,54.3,19059,9200,10252,,,0,41989,58.1
604,Dumbarton,16151,4648,5265,6576,,0,33994,60.4,,,,,,,,
605,Dumfries,20830,11996,4955,4103,,0,42586,67.7,,,,,,,,
672,Dumfries & Galloway,,,,,,,,,20924,18002,4259,6182,,0,50891,68.5
673,Dumfriesshire Clydesdale & Tweeddale,,,,,,,,,14403,16141,9046,4075,,1,44616,67.6
674,Dundee East,,,,,,,,,14325,5061,4498,14708,,3,39540,62.4
606,Dundee East,14635,3900,2784,10160,,0,32358,57.2,,,,,,,,
675,Dundee West,,,,,,,,,16468,3062,5323,11089,,0,36936,56.1
607,Dundee West,14787,2656,2620,7987,,0,29242,54.4,,,,,,,,
676,Dunfermline & West Fife,,,,,,,,,20111,4376,8549,8026,,0,42394,59.9
608,Dunfermline East,19487,2838,2281,4424,,0,30086,57,,,,,,,,
609,Dunfermline West,16370,3166,4832,5390,,0,30975,57.1,,,,,,,,
160,Durham North,25920,7237,5411,,,0,38568,57,23932,6258,7151,,,0,37341,55.3
161,Durham North West,24526,8193,5846,,,0,39226,58.5,21312,6463,7869,,,0,39509,58
162,Ealing Acton & Shepherd's Bush,20144,9355,6171,,,0,37201,52.6,16579,11059,9986,,,0,39623,56.2
163,Ealing North,25022,13185,5043,,,0,44957,58,20056,13897,9148,,,0,45607,58.2
164,Ealing Southall,22239,8556,4680,,,0,46828,56.8,22937,10147,11497,,,0,47045,56.2
165,Easington,25360,3411,3408,,,0,33010,53.6,22733,3400,4097,,,0,31855,52.1
677,East Dunbartonshire,,,,,,,,,15472,7708,19533,2716,,2,46724,72.1
166,East Ham,27241,6209,2600,,,0,37277,52.3,21326,5196,4296,,,0,39569,50.7
610,East Kilbride,22205,4238,4278,9450,,0,41690,62.6,,,,,,,,
678,East Kilbride Strathaven & Lesmahagow,,,,,,,,,23264,4776,7904,8541,,0,47733,63.5
679,East Lothian,,,,,,,,,18983,7315,11363,5995,,0,45776,64.5
611,East Lothian,17407,6577,6506,5381,,0,36871,62.5,,,,,,,,
