meta,Constituency name,Lab 2001,Con 2001,LD 2001,SNP 2001,PC 2001,2001 winner,2001 votes,2001 turnout,Lab 2005,Con 2005,LD 2005,SNP 2005,PC 2005,2005 winner,2005 votes,2005 turnout
417,Spelthorne,15589,18851,6156,,,1,41794,60.8,11684,21620,7318,,,1,42829,58.8
418,St Albans,19889,15423,7847,,,0,43761,66.3,15592,16953,11561,,,1,45462,70
419,St Helens North,22977,7076,6609,,,0,37601,53.3,22329,7410,8367,,,0,39271,57.8
420,St Helens South,16799,4675,7814,,,0,33804,51.9,19345,4602,10036,,,0,35473,46
421,St Ives,6567,15360,25413,,,2,49266,66.3,6583,13968,25577,,,2,50417,72.4
422,Stafford,21285,16253,4205,,,0,44366,65.3,19889,17768,6390,,,0,45554,64.7
423,Staffordshire Moorlands,20904,15066,5928,,,0,42658,63.9,18126,15688,6927,,,0,44253,64
424,Staffordshire South,14414,21295,4891,,,1,42180,60.3,4496,13343,3540,,,1,25635,37.3
425,Stalybridge & Hyde,17781,8922,4327,,,0,32046,48.4,17535,9187,5532,,,0,40114,60.8
426,Stevenage,22025,13459,6027,,,0,42453,61.3,18003,14864,7610,,,0,41934,62.7
715,Stirling,,,,,,,,,15729,10962,9052,5503,,0,43691,67.7
654,Stirling,15175,8901,4208,5877,,0,35930,67.7,,,,,,,,
427,Stockport,20731,9162,5490,,,0,35383,53.3,18069,8906,7832,,,0,35771,54.5
428,Stockton North,22470,7823,4208,,,0,35427,54.3,20012,7575,6869,,,0,36428,57.6
429,Stockton South,23414,14328,6012,,,0,44209,62.2,21480,15341,7171,,,0,44923,63
430,Stoke-on-Trent Central,17170,5325,4148,,,0,28300,47.4,14760,4823,4986,,,0,27907,48.4
431,Stoke-on-Trent North,17460,5676,3580,,,0,30115,51.9,16191,6155,4561,,,0,30760,52.7
432,Stoke-on-Trent South,19366,8877,4724,,,0,36028,51.4,17727,9046,5894,,,0,37820,53.6
433,Stone,16359,22395,6888,,,1,45642,66.3,13644,22733,9111,,,1,47036,66.9
434,Stourbridge,18823,15011,4833,,,0,39924,61.8,17089,16682,6850,,,0,41708,64.7
435,Stratford-on-Avon,9164,27606,15804,,,1,54914,64.4,10145,28652,16468,,,1,58240,68.8
655,Strathkelvin & Bearsden,19250,6635,7533,6675,,0,41486,66.1,,,,,,,,
436,Streatham,21041,6639,6771,,,0,36998,48.7,18950,7238,11484,,,0,40615,51.3
437,Stretford & Urmston,23804,10565,3891,,,0,38973,55,19417,11566,5323,,,0,38101,61.5
438,Stroud,25685,20646,6036,,,0,55175,69.9,22527,22177,8026,,,0,56875,71.3
439,Suffolk Central & Ipswich North,17455,20924,7593,,,1,47104,63.5,14477,22333,10709,,,1,50866,66.7
440,Suffolk Coastal,17521,21847,9192,,,1,50407,66.4,13730,23415,11637,,,1,52557,67.9
441,Suffolk South,13667,18748,11296,,,1,45293,66.2,11917,20471,13865,,,1,48707,71.8
442,Suffolk West,15906,20201,5017,,,1,42445,59.6,12773,21682,7573,,,1,44205,60.7
443,Sunderland North,18685,5331,3599,,,0,29820,49,15719,5724,4277,,,0,28913,49.7
444,Sunderland South,19921,6254,3675,,,0,31187,48.3,17982,6923,4492,,,0,30712,49.3
445,Surrey East,8994,24706,11503,,,1,47049,67.1,7288,27659,11738,,,1,49253,66.6
446,Surrey Heath,9640,22401,11582,,,1,45102,59.5,7989,24642,13797,,,1,47858,62.9
447,Surrey South West,4321,22462,21601,,,1,49592,66.9,4150,26420,20709,,,1,52409,71.8
448,Sutton & Cheam,5263,15078,19382,,,2,39723,62.4,4954,16922,19768,,,2,41932,66.2
449,Sutton Coldfield,11805,21909,8268,,,1,43452,60.5,12025,24308,7710,,,1,46318,63.5
563,Swansea East,19612,3026,3064,,3464,0,30072,52.5,17457,3103,6208,,2129,0,30834,52.4
564,Swansea West,15644,6094,5313,,3404,0,32100,56.2,13833,5285,9564,,2150,0,33086,57.1
450,Swindon North,22371,14266,4891,,,0,42328,61,19612,17041,6831,,,0,44885,61
451,Swindon South,22260,14919,5165,,,0,43384,61,17534,16181,7322,,,0,43472,60.2
452,Tamworth,19722,15124,4721,,,0,40250,57.8,18801,16232,6175,,,0,43740,61
453,Tatton,11249,19860,7685,,,1,41278,63.5,9716,21447,9016,,,1,41414,64.6
454,Taunton,8254,23033,22798,,,1,55225,67.6,7132,25191,25764,,,2,59528,69.7
656,Tayside North,5715,12158,4365,15441,,3,38519,62.5,,,,,,,,
455,Teignbridge,7366,23332,26343,,,2,59310,69.3,6931,21593,27808,,,2,60898,68.7
456,Telford,16854,8471,3983,,,0,30875,51.9,16506,11100,4941,,,0,34206,57.7
457,Tewkesbury,12167,20830,11863,,,1,45195,64.3,9179,22339,12447,,,1,45453,63
458,Thanet North,14400,21050,4603,,,1,41868,59.3,14065,21699,6279,,,1,43732,60.1
459,Thanet South,18002,16210,3706,,,0,39431,64.2,16660,15996,5431,,,0,41242,65
460,The Wrekin,19532,15945,4738,,,0,41490,63,17957,18899,6608,,,1,45054,67
461,Thurrock,21121,11124,3846,,,0,37362,48.8,20636,14261,4770,,,0,43692,54.9
462,Tiverton & Honiton,6647,26258,19974,,,1,55784,69.2,7944,27838,16787,,,1,58168,69.8
463,Tonbridge & Malling,12706,20956,7605,,,1,42436,64.4,11005,24357,8980,,,1,46063,67.3
464,Tooting,20332,9932,5583,,,0,37591,54.9,17914,12533,8110,,,0,41568,59
465,Torbay,4484,17307,24015,,,2,47569,65.7,6972,17288,19317,,,2,47303,61.9
565,Torfaen,21883,5603,3936,,2720,0,35242,57.7,20472,5681,5678,,2242,0,35979,59.3
466,Totnes,6005,21914,18317,,,1,49246,67.9,6185,21112,19165,,,1,50575,67.7
467,Tottenham,21317,4401,3008,,,0,31601,48.2,18343,4278,5309,,,0,31664,47.8
468,Truro & St Austell,6889,16231,24296,,,2,50295,63.5,6991,16686,24089,,,2,51564,64.2
469,Tunbridge Wells,9332,19643,9913,,,1,40201,62.3,8736,21083,11095,,,1,42482,65.7
657,Tweeddale Ettrick & Lauderdale,8878,5118,14035,4108,,2,33217,63.9,,,,,,,,
470,Twickenham,6903,16689,24344,,,2,49938,67.4,5868,16731,26696,,,2,51687,71.8
471,Tyne Bridge,18345,3456,3213,,,0,26032,44.2,16151,2962,5751,,,0,26383,49.3
472,Tynemouth,23364,14686,5108,,,0,43903,67.4,20143,16000,6716,,,0,42859,66.9
473,Tyneside North,26127,5459,4649,,,0,37569,57.9,22882,7845,6212,,,0,36939,57.2
474,Upminster,14169,15410,3183,,,1,33851,59.6,10778,16820,3128,,,1,34676,63
475,Uxbridge,13653,15751,3426,,,1,33418,57.6,10669,16840,4544,,,1,34378,59.4
566,Vale of Clwyd,16179,10418,3058,,2300,0,32346,63.1,14875,10206,3820,,2309,0,32313,62.2
567,Vale of Glamorgan,20524,15824,5521,,2867,0,45184,67.4,19481,17673,6140,,2423,0,47324,68.9
476,Vale of York,12516,25033,9799,,,1,48490,66.1,12313,26025,12040,,,1,50378,66.3
477,Vauxhall,19738,4489,6720,,,0,33392,44.8,19744,5405,9767,,,0,37353,46.9
478,Wakefield,20592,12638,5097,,,0,41254,54.5,18802,13648,7063,,,0,43381,59.3
479,Wallasey,22718,10442,4186,,,0,37346,57.6,20085,10976,4770,,,0,36671,57.5
480,Walsall North,18779,9388,2923,,,0,32312,48.9,15990,9350,4144,,,0,33428,52.8
481,Walsall South,20574,10643,2365,,,0,34899,55.7,17633,9687,3240,,,0,35315,58.5
482,Walthamstow,21402,6221,5024,,,0,34429,53.5,17323,6254,9330,,,0,34444,54.6
483,Wansbeck,21617,4774,8516,,,0,37419,59.4,20315,5540,9734,,,0,36834,58.4
484,Wansdyke,22706,17593,7135,,,0,49047,69.3,20686,18847,10050,,,0,50933,72.4
485,Wantage,13875,19475,13776,,,1,49129,64.5,12464,22354,14337,,,1,51931,68.2
486,Warley,19007,7157,3315,,,0,31415,54.1,17462,7315,4277,,,0,32087,57.1
487,Warrington North,24026,8870,5232,,,0,38910,53.7,21632,9428,7699,,,0,40418,55.1
488,Warrington South,22409,15022,7419,,,0,45487,61.2,18972,15457,11111,,,0,46797,61.8
489,Warwick & Leamington,26108,20155,5964,,,0,53539,65.8,22238,21932,8119,,,0,54744,67.4
490,Warwickshire North,24023,14384,5052,,,0,44409,60.2,22561,15008,6212,,,0,46939,62.2
491,Watford,20992,15437,8088,,,0,46372,61.2,16575,14634,15427,,,0,49394,64.8
492,Waveney,23914,15361,5370,,,0,47167,61.6,22505,16590,7497,,,0,49653,64.4
493,Wealden,10705,26279,12507,,,1,52756,63.5,9360,28975,13054,,,1,55653,67.7
494,Weaver Vale,20611,10974,5643,,,0,39271,57.6,18759,11904,7723,,,0,39420,57.1
495,Wellingborough,23867,21512,4763,,,0,51006,65.9,21987,22674,6147,,,1,53005,66.5
496,Wells,7915,22462,19666,,,1,51314,69.2,8288,23071,20031,,,1,52965,68
497,Welwyn Hatfield,18484,17288,6021,,,0,42821,63.9,16226,22172,6318,,,1,44716,68.1
498,Wentworth,22798,6349,3652,,,0,33778,52.8,21225,6169,4800,,,0,35596,56
716,West Aberdeenshire & Kincardine,,,,,,,,,5470,11814,19285,4700,,2,41648,63.5
658,West Aberdeenshire & Kincardine,4669,11686,16507,4634,,2,37914,62,,,,,,,,
499,West Bromwich East,18250,8487,4507,,,0,32664,53.4,19741,8089,4386,,,0,35512,58.6
500,West Bromwich West,19352,7997,2168,,,0,31840,47.7,18951,8057,3583,,,0,34917,52.3
717,West Dunbartonshire,,,,,,,,,21600,2679,5999,9047,,0,41589,61.3
501,West Ham,20449,4804,2166,,,0,29273,48.9,15840,3618,3364,,,0,30966,49.8
502,Westbury,10847,21299,16005,,,1,50628,66.7,9640,24749,19400,,,1,55604,67
659,Western Isles / Na h-Eileanan an Iar,5924,1250,849,4850,,0,13159,60.3,4772,610,1096,6213,,3,13836,64.1
503,Westmorland & Lonsdale,5234,22486,19339,,,1,47903,67.8,3796,22302,22569,,,2,49636,71.6
504,Weston-Super-Mare,9235,18086,18424,,,2,46680,62.8,9169,19804,17725,,,1,49095,65.5
505,Wigan,20739,6996,4970,,,0,33591,52.5,18901,7134,6051,,,0,34278,53.3
506,Wiltshire North,7556,24090,20212,,,1,52948,66.6,6794,26282,20979,,,1,56061,69.3
507,Wimbledon,18806,15062,5341,,,0,41109,64.3,15585,17886,7868,,,1,43404,68.1
508,Winchester,3498,22648,32282,,,2,59158,72.3,4782,23749,31222,,,2,61655,71.9
509,Windsor,10137,19900,11011,,,1,42110,60.9,8339,21646,11354,,,1,43693,64
510,Wirral South,18890,13841,7087,,,0,39818,65.6,16892,13168,8568,,,0,39704,67.5
511,Wirral West,19105,15070,6300,,,0,40475,65,17543,16446,6652,,,0,41233,67.5
512,Witney,14180,22153,10000,,,1,49203,65.9,11845,26571,12415,,,1,53869,69
513,Woking,8714,19747,12988,,,1,42910,60.3,7507,21838,15226,,,1,46045,63.4
514,Wokingham,7633,20216,14222,,,1,43848,64.1,6991,22174,14934,,,1,46072,67.1
515,Wolverhampton North East,18984,9019,2494,,,0,31494,52.1,17948,9792,3845,,,0,32956,54.4
516,Wolverhampton South East,18409,5945,2389,,,0,27297,50.6,16790,6295,3682,,,0,28251,52.3
517,Wolverhampton South West,19735,16248,3425,,,0,40897,60.9,18489,15610,5568,,,0,41679,62.1
518,Woodspring,12499,21297,11816,,,1,48758,68.7,11249,21587,15571,,,1,51618,72
519,Worcester,21478,15712,5578,,,0,44210,62,19421,16277,7557,,,0,46388,64.1
520,Worcestershire West,6275,20597,15223,,,1,44807,67.1,4945,20959,18484,,,1,47077,70.3
521,Workington,23209,12359,5214,,,0,41822,63.4,19554,12659,5815,,,0,39737,64.7
522,Worsley,20193,8406,6188,,,0,35363,51,18859,9491,6902,,,0,36946,53.1
523,Worthing East & Shoreham,12469,18608,9876,,,1,43068,59.9,11365,19548,10844,,,1,44543,61.6
524,Worthing West,9270,20508,11471,,,1,43209,59.7,8630,21383,12004,,,1,44941,62.6
568,Wrexham,15934,6746,5153,,1783,0,30048,59.5,13993,6079,7174,,1744,0,30385,63.3
525,Wycombe,15896,19064,7658,,,1,44974,60.2,13280,20331,8780,,,1,44427,62.2
526,Wyre Forest,10857,9350, ,,,5,49062,68,10716,13489,,,,5,46987,64.2
527,Wythenshawe & Sale East,21032,8424,4320,,,0,35052,48.6,18878,8051,7766,,,0,36184,50.4
528,Yeovil,7077,17338,21266,,,2,48132,63.4,5256,17096,25658,,,2,49913,64.3
569,Ynys Mon,11906,7653,2772,,11106,0,34018,64,12278,3915,2418,,11036,0,35462,67.5
529,Yorkshire East,15179,19861,6300,,,1,43314,59.9,14932,21215,9075,,,1,46925,61.2
